title,artist,genre,demo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
Vente Pa' Ca (feat. Maluma),Ricky Martin,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'puerto rican pop']",https://p.scdn.co/mp3-preview/21e38a8983daf1c35230579e4f4be70a34003da2?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.663,0.92,11.0,-4.07,0.0,0.226,0.00431,1.69e-05,0.101,0.533,99.935,7DM4BPaS7uofFul3ywMe46,spotify:track:7DM4BPaS7uofFul3ywMe46,https://api.spotify.com/v1/tracks/7DM4BPaS7uofFul3ywMe46,https://api.spotify.com/v1/audio-analysis/7DM4BPaS7uofFul3ywMe46,259196.0,4.0
Reggaetón Lento (Bailemos),CNCO,"['boy band', 'latin', 'latin pop', 'reggaeton']",https://p.scdn.co/mp3-preview/ced5c17cadb43603d0498016dcd37056331efd70?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.761,0.838,4.0,-3.073,0.0,0.0502,0.4,0.0,0.176,0.71,93.974,3AEZUABDXNtecAOSC1qTfo,spotify:track:3AEZUABDXNtecAOSC1qTfo,https://api.spotify.com/v1/tracks/3AEZUABDXNtecAOSC1qTfo,https://api.spotify.com/v1/audio-analysis/3AEZUABDXNtecAOSC1qTfo,222560.0,4.0
SAFARI,"Tyler, The Creator","['hip hop', 'rap']",https://p.scdn.co/mp3-preview/46545a950dc150f87c2584dec27b7b97f53291a6?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.471,0.71,1.0,-6.462,0.0,0.213,0.0618,1.7e-06,0.338,0.599,80.453,09xpQPfKWdio1wx6v17dGa,spotify:track:09xpQPfKWdio1wx6v17dGa,https://api.spotify.com/v1/tracks/09xpQPfKWdio1wx6v17dGa,https://api.spotify.com/v1/audio-analysis/09xpQPfKWdio1wx6v17dGa,177743.0,4.0
Cuando Se Pone a Bailar,Rombai,['cumbia pop'],https://p.scdn.co/mp3-preview/02730a7c430c379f946b4b82b18a1c0efdede779?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.588,0.682,11.0,-7.169,0.0,0.173,0.0851,2.69e-05,0.084,0.937,205.643,1MpKZi1zTXpERKwxmOu1PH,spotify:track:1MpKZi1zTXpERKwxmOu1PH,https://api.spotify.com/v1/tracks/1MpKZi1zTXpERKwxmOu1PH,https://api.spotify.com/v1/audio-analysis/1MpKZi1zTXpERKwxmOu1PH,195274.0,4.0
Otra vez (feat. J Balvin),Zion & Lennox,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",https://p.scdn.co/mp3-preview/80f292da16e796affa37fbc1d89bea7f3fef7cbb?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.832,0.772,10.0,-5.429,1.0,0.1,0.0559,0.000486,0.44,0.704,96.016,3QwBODjSEzelZyVjxPOHdq,spotify:track:3QwBODjSEzelZyVjxPOHdq,https://api.spotify.com/v1/tracks/3QwBODjSEzelZyVjxPOHdq,https://api.spotify.com/v1/audio-analysis/3QwBODjSEzelZyVjxPOHdq,209453.0,4.0
La Bicicleta,Carlos Vives,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']",https://p.scdn.co/mp3-preview/52f4b0aba713856275f0486f16d4abb5ff926ff3?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.745,0.944,0.0,-3.959,1.0,0.134,0.21,1.45e-06,0.333,0.951,179.991,0Gx4VrHzS7pZOEAGrmXXBH,spotify:track:0Gx4VrHzS7pZOEAGrmXXBH,https://api.spotify.com/v1/tracks/0Gx4VrHzS7pZOEAGrmXXBH,https://api.spotify.com/v1/audio-analysis/0Gx4VrHzS7pZOEAGrmXXBH,229510.0,4.0
Dile Que Tu Me Quieres,Ozuna,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",https://p.scdn.co/mp3-preview/036f095bfc8c1e1e14a0d297b94133de5c5ceb09?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.773,0.757,1.0,-4.959,1.0,0.0526,0.0864,3.73e-06,0.0727,0.858,88.006,5u5MvmVtitax9R1Mxh3reC,spotify:track:5u5MvmVtitax9R1Mxh3reC,https://api.spotify.com/v1/tracks/5u5MvmVtitax9R1Mxh3reC,https://api.spotify.com/v1/audio-analysis/5u5MvmVtitax9R1Mxh3reC,226520.0,4.0
Desde Esa Noche (feat. Maluma),Thalia,"['latin', 'latin pop', 'mexican pop']",https://p.scdn.co/mp3-preview/9db685acc584ee2bd7468c53efd59f81e16e60f8?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.78,0.929,11.0,-0.739,0.0,0.0532,0.171,0.0,0.0677,0.837,95.012,1pWYnQIlqxTh5bxuPmTG4E,spotify:track:1pWYnQIlqxTh5bxuPmTG4E,https://api.spotify.com/v1/tracks/1pWYnQIlqxTh5bxuPmTG4E,https://api.spotify.com/v1/audio-analysis/1pWYnQIlqxTh5bxuPmTG4E,227693.0,4.0
Borro Cassette,Maluma,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",https://p.scdn.co/mp3-preview/50013079cfbac7c713ae9d1eb5141194b8162527?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.73,0.701,5.0,-5.885,0.0,0.106,0.132,0.0,0.151,0.785,175.95,6DUdDIRgLqCGq1DwkNWQTN,spotify:track:6DUdDIRgLqCGq1DwkNWQTN,https://api.spotify.com/v1/tracks/6DUdDIRgLqCGq1DwkNWQTN,https://api.spotify.com/v1/audio-analysis/6DUdDIRgLqCGq1DwkNWQTN,207307.0,4.0
Me llamas (feat. Maluma) - Remix,Piso 21,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",https://p.scdn.co/mp3-preview/a58e459065ab1104a650d6e8e684038e9d526b75?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.76,0.838,7.0,-3.828,0.0,0.0529,0.547,1.3e-06,0.0664,0.745,93.05,5hEM0JchdVzQ5PwvSfITeX,spotify:track:5hEM0JchdVzQ5PwvSfITeX,https://api.spotify.com/v1/tracks/5hEM0JchdVzQ5PwvSfITeX,https://api.spotify.com/v1/audio-analysis/5hEM0JchdVzQ5PwvSfITeX,210323.0,4.0
La Bicicleta (feat. Maluma) - Remix,Carlos Vives,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']",https://p.scdn.co/mp3-preview/a9eacd8fc1b1924c77b551f4dae1306a186d4260?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.598,0.917,0.0,-3.455,1.0,0.159,0.117,0.0,0.398,0.575,180.049,7IRuf7FrdQvOGs0g9mSNGr,spotify:track:7IRuf7FrdQvOGs0g9mSNGr,https://api.spotify.com/v1/tracks/7IRuf7FrdQvOGs0g9mSNGr,https://api.spotify.com/v1/audio-analysis/7IRuf7FrdQvOGs0g9mSNGr,254069.0,4.0
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",https://p.scdn.co/mp3-preview/76e609f738ac18dcb758cc3ff3f8b5bc389302a0?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.716,0.908,8.0,-3.254,0.0,0.103,0.0858,0.0,0.135,0.869,91.03,6YZdkObH88npeKrrkb8Ggf,spotify:track:6YZdkObH88npeKrrkb8Ggf,https://api.spotify.com/v1/tracks/6YZdkObH88npeKrrkb8Ggf,https://api.spotify.com/v1/audio-analysis/6YZdkObH88npeKrrkb8Ggf,199693.0,4.0
La Noche No Es para Dormir,Mano Arriba,['cumbia pop'],https://p.scdn.co/mp3-preview/a345336584d11573f2c7baf41fd518f5dc87ed3c?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.549,0.798,6.0,-4.185,1.0,0.0705,0.126,0.0,0.329,0.905,100.056,07ZHn1csuJvAQAZiYFds12,spotify:track:07ZHn1csuJvAQAZiYFds12,https://api.spotify.com/v1/tracks/07ZHn1csuJvAQAZiYFds12,https://api.spotify.com/v1/audio-analysis/07ZHn1csuJvAQAZiYFds12,199495.0,4.0
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",https://p.scdn.co/mp3-preview/afb53fb7e8ae5f5f234b99d3bb91df7db0fa4861?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.72,0.763,9.0,-4.068,0.0,0.0523,0.406,0.0,0.18,0.742,101.965,5knuzwU65gJK7IF5yJsuaW,spotify:track:5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,251088.0,4.0
